job_role,Requisition id,job responsibilities,qualification,desired,location
Hyderabad - CB - KYC Operations - 404/406 - Team Member / Senior Team Member,190014091,,,,"Hyderabad,AP,IN"
,,,,,
CIB - Derivativ Operations - Transaction Processing Specialist - Team Leader,190036013,,,,"Bangalore East,KA,IN"
,,,,,
Software Engineer - Corporate Actions Asset Management,190033552,,,,"Mumbai,MH,IN"
,,,,,
"Software Engineer, Suitability Team",190029707,,,,"Bangalore East,KA,IN"
,,,,,
Securities Services Middle Office - Client Instruction Capture Change - Analyst - Mumbai,190025847,,,,"Mumbai,MH,IN"
,,,,,
Software Engineer,190037036,,,,"Bangalore East,KA,IN"
,,,,,
CIB - Document Management - Business Analyst - Associate,190016549,,,,"Bangalore East,KA,IN"
,,,,,
Senior Analyst - Risk Reporting (Data Management),190013649,,,,"Bangalore East,KA,IN"
,,,,,
Team Member - DRO,190039801,,,,"Bangalore East,KA,IN"
,,,,,
Production Support Analyst-MS,190039749,,,,"Bangalore East,KA,IN"
,,,,,
Production Support Analyst-MS,190039751,,,,"Bangalore East,KA,IN"
,,,,,
Production Support Analyst-MS,190039758,,,,"Bangalore East,KA,IN"
,,,,,
Production Support Analyst-MS,190039764,,,,"Bangalore East,KA,IN"
,,,,,
Production Support Analyst-MS,190039739,,,,"Bangalore East,KA,IN"
,,,,,
Software Engineering,190013180,,,,"Bangalore East,KA,IN"
,,,,,
Production Support Analyst-MS,190039761,,,,"Bangalore East,KA,IN"
,,,,,
Software Engineering - Java Developer,190017197,"Coordinate with global team and own all the enhancements and defect fixes related to the platform.,Lead the DevOps model using the firmwide approved tools like Jenkins.,Hands on experience of building J2EE application using Spring modules.,Ability to develop re-usable components using Java/J2EE related technologies.,Develop Micro services using Spring.,Be part of a agile team and participate in all the scrum events.,Coordinate the evaluation, scope and completion of new development requests.,Work with our institutional management team to establish suitable processes to support Build and Release. ,Manage and maintain different environments and support on Release Management activities.","Minimum 6 years of experience in Java/J2EE.,Excellent Core Java skills.,Experience in Spring Core, Spring Boot & Spring ORM.,Hands on experience of developing REST and SOAP service using Spring.,Experience of working on scripting languages.,Experience of working Network security domain preferred.,Creative and analytical thinker with strong problem-solving skills.,Experience designing and implementing n-Tier systems,Must demonstrate exceptional verbal and written communication skills,Must demonstrate ability to communicate effectively at all levels of the organization","• Experience with Tomcat, Apache and Maven,. Experience on Micro services based architecture using Cloud infrastructure.,• Knowledge of DevOps practices is preferred.,• Test Driven Development (TDD) experience,• Knowledge and previous experience on commercial CRM platforms is desirable.","Bangalore East,KA,IN"
,,,,,
Software Engineering - Java,190026149,,,,"Mumbai,MH,IN"
,,,,,
CIB - QR - Quantitative Research - Wholesale Credit Model Frameworks - Associate,190030188,,,,"Mumbai,MH,IN"
,,,,,
Software  Engineering,190008097,,,,"Bangalore East,KA,IN"
,,,,,
Analyst CTC Market Risk - GMG - Mumbai,190029980,,,,"Mumbai,MH,IN"
,,,,,
BusinessObjects Developer,190015081,,,,"Bangalore East,KA,IN"
,,,,,
KYC Specialist- Periodic Review Due Diligence,190036505,,,,"Bangalore East,KA,IN"
,,,,,
Applications Support,190006256,,,,"Mumbai,MH,IN"
,,,,,
Software Engineering - Java Developer,190017205,"Coordinate with global team and own all the enhancements and defect fixes related to the platform.,Lead the DevOps model using the firmwide approved tools like Jenkins.,Hands on experience of building J2EE application using Spring modules.,Ability to develop re-usable components using Java/J2EE related technologies.,Develop Micro services using Spring.,Be part of a agile team and participate in all the scrum events.,Coordinate the evaluation, scope and completion of new development requests.,Work with our institutional management team to establish suitable processes to support Build and Release. ,Manage and maintain different environments and support on Release Management activities.","Minimum 6 years of experience in Java/J2EE.,Excellent Core Java skills.,Experience in Spring Core, Spring Boot & Spring ORM.,Hands on experience of developing REST and SOAP service using Spring.,Experience of working on scripting languages.,Experience of working Network security domain preferred.,Creative and analytical thinker with strong problem-solving skills.,Experience designing and implementing n-Tier systems,Must demonstrate exceptional verbal and written communication skills,Must demonstrate ability to communicate effectively at all levels of the organization","• Experience with Tomcat, Apache and Maven,. Experience on Micro services based architecture using Cloud infrastructure.,• Knowledge of DevOps practices is preferred.,• Test Driven Development (TDD) experience,• Knowledge and previous experience on commercial CRM platforms is desirable.","Bangalore East,KA,IN"
,,,,,
CB Tech -  Full Stack Technology Manager,190016902,,,,"Bangalore East,KA,IN"
,,,,,
CB - Business Analyst & Reporting Specialist - Associate,190037471,,,,"Bangalore East,KA,IN"
,,,,,
Global Liquidity Technology - Associate - Java Developer,190013249,,,,"Bangalore East,KA,IN"
,,,,,
Pricing & Strategic Billing Team Lead – Vice President,190017155,,,,"Mumbai,MH,IN"
,,,,,
